Cách tính,Phân loại tiêu chuẩn ngoại thương,Năm,Giá trị
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,1999,85.744
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2000,102.8
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2001,108.4
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2002,149.3
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2003,152.7
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2004,162.6
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2005,175.8
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2006,145
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2007,183.3
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2008,269.4
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2009,341.6
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2010,292.9
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2011,318.5
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2012,321.1
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2013,377.7
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2014,383.2
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2015,408.6
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2016,414.2
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2017,477.9
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2018,593.7
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2019,573.8
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2020,521.8
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2021,610.4
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2022,839.5
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,2023,993.7
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,Sơ bộ 2024,1109.5
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",1995,456.9
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",1996,407.3
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",1997,369.688
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",1998,381.814
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",1999,452.765
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2000,590.8
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2001,690.1
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2002,816.1
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2003,1001
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2004,1454.3
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2005,1623.2
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2006,2084.3
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2007,2740.8
