Ngành kinh tế,Năm,Số dự án và tổng vốn đăng ký,Giá trị
Hoạt động hành chính và dịch vụ hỗ trợ,2023,Số dự án,64
Hoạt động hành chính và dịch vụ hỗ trợ,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),60.536426848125
Hoạt động hành chính và dịch vụ hỗ trợ,2024,Số dự án,69
Hoạt động hành chính và dịch vụ hỗ trợ,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),160.3661324530717
Giáo dục và đào tạo,2015,Số dự án,40
Giáo dục và đào tạo,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),29.2
Giáo dục và đào tạo,2016,Số dự án,72
Giáo dục và đào tạo,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),64.6
Giáo dục và đào tạo,2017,Số dự án,69
Giáo dục và đào tạo,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),122.3156882136445
Giáo dục và đào tạo,2018,Số dự án,73
Giáo dục và đào tạo,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),79.6913716220444
Giáo dục và đào tạo,2019,Số dự án,72
Giáo dục và đào tạo,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),67.3868159292977
Giáo dục và đào tạo,2020,Số dự án,57
Giáo dục và đào tạo,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),109.2
Giáo dục và đào tạo,2021,Số dự án,27
Giáo dục và đào tạo,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),51.57145423
Giáo dục và đào tạo,2022,Số dự án,41
Giáo dục và đào tạo,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),253.5568351554687
Giáo dục và đào tạo,2023,Số dự án,68
Giáo dục và đào tạo,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),47.58205237625
Giáo dục và đào tạo,2024,Số dự án,38
Giáo dục và đào tạo,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),39.59924641
Y tế và hoạt động trợ giúp xã hội,2015,Số dự án,10
Y tế và hoạt động trợ giúp xã hội,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),13.3
Y tế và hoạt động trợ giúp xã hội,2016,Số dự án,10
Y tế và hoạt động trợ giúp xã hội,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),52.5
Y tế và hoạt động trợ giúp xã hội,2017,Số dự án,16
Y tế và hoạt động trợ giúp xã hội,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),389.3681521182222
Y tế và hoạt động trợ giúp xã hội,2018,Số dự án,9
Y tế và hoạt động trợ giúp xã hội,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),154.0994003088889
Y tế và hoạt động trợ giúp xã hội,2019,Số dự án,7
Y tế và hoạt động trợ giúp xã hội,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),212.3310056966175
Y tế và hoạt động trợ giúp xã hội,2020,Số dự án,9
Y tế và hoạt động trợ giúp xã hội,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),32.6
Y tế và hoạt động trợ giúp xã hội,2021,Số dự án,1
Y tế và hoạt động trợ giúp xã hội,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),4.517988945
Y tế và hoạt động trợ giúp xã hội,2022,Số dự án,4
Y tế và hoạt động trợ giúp xã hội,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),23.07105573
Y tế và hoạt động trợ giúp xã hội,2023,Số dự án,5
Y tế và hoạt động trợ giúp xã hội,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),362.59343308
Y tế và hoạt động trợ giúp xã hội,2024,Số dự án,2
Y tế và hoạt động trợ giúp xã hội,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),95.37231744
"Nghệ thuật, vui chơi và giải trí",2015,Số dự án,1
"Nghệ thuật, vui chơi và giải trí",2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2.9
"Nghệ thuật, vui chơi và giải trí",2016,Số dự án,2
"Nghệ thuật, vui chơi và giải trí",2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),330.2
"Nghệ thuật, vui chơi và giải trí",2017,Số dự án,8
"Nghệ thuật, vui chơi và giải trí",2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),39.0943603333333
"Nghệ thuật, vui chơi và giải trí",2018,Số dự án,7
"Nghệ thuật, vui chơi và giải trí",2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1138.598799555556
"Nghệ thuật, vui chơi và giải trí",2019,Số dự án,6
"Nghệ thuật, vui chơi và giải trí",2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),62.7488774733723
"Nghệ thuật, vui chơi và giải trí",2020,Số dự án,4
"Nghệ thuật, vui chơi và giải trí",2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),4.7
"Nghệ thuật, vui chơi và giải trí",2021,Số dự án,1
"Nghệ thuật, vui chơi và giải trí",2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1.68155786
"Nghệ thuật, vui chơi và giải trí",2022,Số dự án,1
"Nghệ thuật, vui chơi và giải trí",2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),3.84962623
"Nghệ thuật, vui chơi và giải trí",2023,Số dự án,5
"Nghệ thuật, vui chơi và giải trí",2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),13.62249417
"Nghệ thuật, vui chơi và giải trí",2024,Số dự án,8
"Nghệ thuật, vui chơi và giải trí",2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),14.28641836
Hoạt động dịch vụ khác,2015,Số dự án,16
Hoạt động dịch vụ khác,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),38.3
Hoạt động dịch vụ khác,2016,Số dự án,7
Hoạt động dịch vụ khác,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),72.9
Hoạt động dịch vụ khác,2017,Số dự án,9
Hoạt động dịch vụ khác,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),49.2360555171556
Hoạt động dịch vụ khác,2018,Số dự án,9
Hoạt động dịch vụ khác,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),22.4698672444445
Hoạt động dịch vụ khác,2019,Số dự án,12
Hoạt động dịch vụ khác,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),47.650283927217
Hoạt động dịch vụ khác,2020,Số dự án,5
Hoạt động dịch vụ khác,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),46.5
Hoạt động dịch vụ khác,2021,Số dự án,1
Hoạt động dịch vụ khác,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),3.73440367
Hoạt động dịch vụ khác,2022,Số dự án,3
Hoạt động dịch vụ khác,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),6.49052263
Hoạt động dịch vụ khác,2023,Số dự án,8
Hoạt động dịch vụ khác,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),45.58313937
Hoạt động dịch vụ khác,2024,Số dự án,9
Hoạt động dịch vụ khác,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),169.4977955199938
