Ngành kinh tế,Năm,Số dự án và tổng vốn đăng ký,Giá trị
Dịch vụ lưu trú và ăn uống,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),170.58982113
Dịch vụ lưu trú và ăn uống,2022,Số dự án,37
Dịch vụ lưu trú và ăn uống,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),14.31649194
Dịch vụ lưu trú và ăn uống,2023,Số dự án,66
Dịch vụ lưu trú và ăn uống,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),89.0601869909375
Dịch vụ lưu trú và ăn uống,2024,Số dự án,38
Dịch vụ lưu trú và ăn uống,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),123.6541152302539
Thông tin và truyền thông,2015,Số dự án,171
Thông tin và truyền thông,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),96.9
Thông tin và truyền thông,2016,Số dự án,200
Thông tin và truyền thông,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),377.5
Thông tin và truyền thông,2017,Số dự án,197
Thông tin và truyền thông,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),239.820416955379
Thông tin và truyền thông,2018,Số dự án,248
Thông tin và truyền thông,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),591.7697498097334
Thông tin và truyền thông,2019,Số dự án,310
Thông tin và truyền thông,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),530.410439390517
Thông tin và truyền thông,2020,Số dự án,219
Thông tin và truyền thông,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),282.1
Thông tin và truyền thông,2021,Số dự án,168
Thông tin và truyền thông,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),412.9159191699999
Thông tin và truyền thông,2022,Số dự án,260
Thông tin và truyền thông,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),675.1120593890626
Thông tin và truyền thông,2023,Số dự án,301
Thông tin và truyền thông,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),420.93315818625
Thông tin và truyền thông,2024,Số dự án,235
