"Khối nước, nước và vùng lãnh thổ",Năm,Giá trị
Xin-ga-po,2005,1917
Xin-ga-po,2006,1811.7
Xin-ga-po,2007,2234.4
Xin-ga-po,2008,2713.8
Xin-ga-po,2009,2075.6
Xin-ga-po,2010,2121.3
Xin-ga-po,2011,2149.3
Xin-ga-po,2012,2367.7
Xin-ga-po,2013,2691.5
Xin-ga-po,2014,2942
Xin-ga-po,2015,3256.6
Xin-ga-po,2016,2419.9
Xin-ga-po,2017,2979.2
Xin-ga-po,2018,3195.9
Xin-ga-po,2019,3205.81610271
Xin-ga-po,2020,3022.80715311
Xin-ga-po,2021,3943.19167023
Xin-ga-po,2022,4215.50325341
Xin-ga-po,2023,4291.28141711
Xin-ga-po,Sơ bộ 2024,5190.676226
Thái Lan,1995,101.3
Thái Lan,1996,107.4
Thái Lan,1997,235.3
Thái Lan,1998,295.4
Thái Lan,1999,312.7
Thái Lan,2000,372.3
Thái Lan,2001,322.772
Thái Lan,2002,227.3
Thái Lan,2003,335.4
Thái Lan,2004,518.1
Thái Lan,2005,863
Thái Lan,2006,930.2
Thái Lan,2007,1030
Thái Lan,2008,1288.5
Thái Lan,2009,1314.2
Thái Lan,2010,1182.8
Thái Lan,2011,1938.3
Thái Lan,2012,2832.2
Thái Lan,2013,3069.6
Thái Lan,2014,3473.5
Thái Lan,2015,3177.7
Thái Lan,2016,3690.7
Thái Lan,2017,4800.9
Thái Lan,2018,5487.4
Thái Lan,2019,5303.08494032
Thái Lan,2020,4916.94089216
Thái Lan,2021,6154.90380353
Thái Lan,2022,7344.00631819
Thái Lan,2023,7185.93823074
Thái Lan,Sơ bộ 2024,7808.461931
Đài Loan,1995,439.4
Đài Loan,1996,539.9
Đài Loan,1997,814.5
Đài Loan,1998,670.2
Đài Loan,1999,682.4
Đài Loan,2000,756.6
Đài Loan,2001,806
Đài Loan,2002,817.7
Đài Loan,2003,749.2
Đài Loan,2004,890.6
Đài Loan,2005,935
Đài Loan,2006,968.7
Đài Loan,2007,1139.4
Đài Loan,2008,1401.4
Đài Loan,2009,1120.6
Đài Loan,2010,1442.8
Đài Loan,2011,1843.3
Đài Loan,2012,2081.5
Đài Loan,2013,2223.6
Đài Loan,2014,2306.5
Đài Loan,2015,2076.4
Đài Loan,2016,2272
Đài Loan,2017,2568.3
Đài Loan,2018,3151.4
Đài Loan,2019,4391.43996244
Đài Loan,2020,4321.92037511
Đài Loan,2021,4587.18801618
Đài Loan,2022,5115.95344523
Đài Loan,2023,4711.16705593
Đài Loan,Sơ bộ 2024,5622.197403
Hàn Quốc,1995,235.3
Hàn Quốc,1996,558.3
Hàn Quốc,1997,417
Hàn Quốc,1998,229.1
Hàn Quốc,1999,319.9
Hàn Quốc,2000,352.6
Hàn Quốc,2001,406.082
Hàn Quốc,2002,468.7
Hàn Quốc,2003,492.1
Hàn Quốc,2004,608.1
Hàn Quốc,2005,663.6
Hàn Quốc,2006,842.9
Hàn Quốc,2007,1243.4
Hàn Quốc,2008,1793.5
Hàn Quốc,2009,2077.8
Hàn Quốc,2010,3092.2
Hàn Quốc,2011,4866.7
Hàn Quốc,2012,5580.9
Hàn Quốc,2013,6682.9
Hàn Quốc,2014,7167.5
Hàn Quốc,2015,8915.4
Hàn Quốc,2016,11406.1
Hàn Quốc,2017,14807.2
Hàn Quốc,2018,18240.6
Hàn Quốc,2019,19734.90832283
Hàn Quốc,2020,19107.2612572
Hàn Quốc,2021,21946.33118625
Hàn Quốc,2022,24295.15616774
Hàn Quốc,2023,23446.34299154
Hàn Quốc,Sơ bộ 2024,25676.879624
ĐKHC Hồng Công (TQ),1995,256.7
ĐKHC Hồng Công (TQ),1996,311.2
ĐKHC Hồng Công (TQ),1997,430.7
ĐKHC Hồng Công (TQ),1998,318.1
ĐKHC Hồng Công (TQ),1999,235.7
ĐKHC Hồng Công (TQ),2000,315.9
ĐKHC Hồng Công (TQ),2001,317.238
ĐKHC Hồng Công (TQ),2002,340.2
ĐKHC Hồng Công (TQ),2003,368.7
ĐKHC Hồng Công (TQ),2004,380.1
ĐKHC Hồng Công (TQ),2005,353.1
ĐKHC Hồng Công (TQ),2006,453
ĐKHC Hồng Công (TQ),2007,582.5
ĐKHC Hồng Công (TQ),2008,877.2
ĐKHC Hồng Công (TQ),2009,1034.1
ĐKHC Hồng Công (TQ),2010,1464.2
ĐKHC Hồng Công (TQ),2011,2205.7
ĐKHC Hồng Công (TQ),2012,3705.4
ĐKHC Hồng Công (TQ),2013,4113.5
ĐKHC Hồng Công (TQ),2014,5264.7
ĐKHC Hồng Công (TQ),2015,6959.3
ĐKHC Hồng Công (TQ),2016,6088.1
ĐKHC Hồng Công (TQ),2017,7574.3
ĐKHC Hồng Công (TQ),2018,7957.6
ĐKHC Hồng Công (TQ),2019,7153.80545813
ĐKHC Hồng Công (TQ),2020,10436.73727215
ĐKHC Hồng Công (TQ),2021,11994.91214034
ĐKHC Hồng Công (TQ),2022,10934.54756557
ĐKHC Hồng Công (TQ),2023,9601.32736324
ĐKHC Hồng Công (TQ),Sơ bộ 2024,12423.97228
Nhật Bản,1995,1461
Nhật Bản,1996,1546.4
Nhật Bản,1997,1675.4
Nhật Bản,1998,1514.5
Nhật Bản,1999,1786.2
Nhật Bản,2000,2575.2
Nhật Bản,2001,2509.801
Nhật Bản,2002,2437
Nhật Bản,2003,2908.6
Nhật Bản,2004,3542.1
Nhật Bản,2005,4340.3
Nhật Bản,2006,5240.1
Nhật Bản,2007,6090
Nhật Bản,2008,8467.8
Nhật Bản,2009,6335.6
Nhật Bản,2010,7727.7
Nhật Bản,2011,11091.7
Nhật Bản,2012,13064.5
Nhật Bản,2013,13544.2
Nhật Bản,2014,14674.9
Nhật Bản,2015,14100.3
Nhật Bản,2016,14671.5
Nhật Bản,2017,16792.1
Nhật Bản,2018,18833.7
Nhật Bản,2019,20333.6094118
Nhật Bản,2020,19283.96066298
Nhật Bản,2021,20125.41472718
Nhật Bản,2022,24232.46785539
Nhật Bản,2023,23314.17299489
Nhật Bản,Sơ bộ 2024,24608.370912
CHND Trung Hoa,1995,361.9
CHND Trung Hoa,1996,340.2
