Giá trị và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2010,25152.4
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2011,31592.9
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2012,39911.6
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2013,50520.2
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2014,56306.6
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2015,71647.4
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2016,76467.1
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2017,97276.6
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2018,102046.6
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2019,114432.5
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2020,129146.8633744607
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2021,157146.6069329148
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2022,162978.5
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2023,150971.3
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",Sơ bộ 2024,171719.8
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",1995,4820.7
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",1996,6684.9
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",1997,6909.7
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",1998,7010.8
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",1999,7246.8
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2000,9886.7
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2001,9981.5
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2002,12312.5
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2003,15304.3
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2004,20625.9
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2005,23663.9
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2006,28463.3
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2007,38822.4
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2008,49149.1
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2009,41011.7
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2010,50343.6
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2011,62958.6
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2012,63518.6
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2013,69412.9
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2014,78367.9
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2015,79356.9
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2016,81555.1
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2017,96033.4
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2018,110914.2
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2019,111603
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2020,103947.8144117994
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2021,138661.2954807151
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2022,156963.2
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",2023,140983.9
Giá trị (Triệu đô la Mỹ),"Nguyên, nhiên, vật liệu",Sơ bộ 2024,167150.8
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,1995,1237.8
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,1996,1383.7
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,1997,1171.1
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,1998,975.5
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,1999,991.7
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2000,968.3
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2001,1287.4
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2002,1553.2
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2003,1967.8
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2004,2135.4
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2005,2992.5
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2006,3508.4
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2007,4660.1
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2008,6269.9
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2009,6473.3
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2010,8378
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2011,10125.3
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2012,10249.8
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2013,11982.4
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2014,13046.4
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2015,14645.1
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2016,16818.3
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2017,19764.4
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2018,24133.2
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2019,27499
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2020,29479.88169121571
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2021,36904.0061819684
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2022,39571.4
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,2023,34380.3
Giá trị (Triệu đô la Mỹ),Hàng tiêu dùng,Sơ bộ 2024,41793.2
Giá trị (Triệu đô la Mỹ),Lương thực,1995,
Giá trị (Triệu đô la Mỹ),Lương thực,1996,
Giá trị (Triệu đô la Mỹ),Lương thực,1997,
Giá trị (Triệu đô la Mỹ),Lương thực,1998,
Giá trị (Triệu đô la Mỹ),Lương thực,1999,
Giá trị (Triệu đô la Mỹ),Lương thực,2000,0.3
Giá trị (Triệu đô la Mỹ),Lương thực,2001,0
Giá trị (Triệu đô la Mỹ),Lương thực,2002,0.4
Giá trị (Triệu đô la Mỹ),Lương thực,2003,0.7
Giá trị (Triệu đô la Mỹ),Lương thực,2004,1.3
Giá trị (Triệu đô la Mỹ),Lương thực,2005,3.8
Giá trị (Triệu đô la Mỹ),Lương thực,2006,7.2
Giá trị (Triệu đô la Mỹ),Lương thực,2007,2.5
Giá trị (Triệu đô la Mỹ),Lương thực,2008,3.8
Giá trị (Triệu đô la Mỹ),Lương thực,2009,41.2
Giá trị (Triệu đô la Mỹ),Lương thực,2010,7.9
Giá trị (Triệu đô la Mỹ),Lương thực,2011,3.5
Giá trị (Triệu đô la Mỹ),Lương thực,2012,8.4
Giá trị (Triệu đô la Mỹ),Lương thực,2013,6.5
Giá trị (Triệu đô la Mỹ),Lương thực,2014,5.5
Giá trị (Triệu đô la Mỹ),Lương thực,2015,8.7
Giá trị (Triệu đô la Mỹ),Lương thực,2016,17.9
Giá trị (Triệu đô la Mỹ),Lương thực,2017,17.1
Giá trị (Triệu đô la Mỹ),Lương thực,2018,24.1
Giá trị (Triệu đô la Mỹ),Lương thực,2019,14.5
Giá trị (Triệu đô la Mỹ),Lương thực,2020,19.34868172994672
Giá trị (Triệu đô la Mỹ),Lương thực,2021,157.6668603425432
Giá trị (Triệu đô la Mỹ),Lương thực,2022,144.8
Giá trị (Triệu đô la Mỹ),Lương thực,2023,280.5
Giá trị (Triệu đô la Mỹ),Lương thực,Sơ bộ 2024,1590.6
Giá trị (Triệu đô la Mỹ),Thực phẩm,1995,289.1
Giá trị (Triệu đô la Mỹ),Thực phẩm,1996,319.2
Giá trị (Triệu đô la Mỹ),Thực phẩm,1997,245.3
Giá trị (Triệu đô la Mỹ),Thực phẩm,1998,276.1
