Phân loại tiêu chuẩn ngoại thương,Năm,Giá trị
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2006,9709.4
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2007,10061
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2008,12750.5
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2009,8507.1
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2010,7979.7
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2011,11007.8
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2012,11353.2
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2013,9685.2
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2014,9238.2
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2015,4995.8
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2016,3578.1
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2017,4846.1
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2018,4907.3
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2019,4756.77686044
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2020,3086.667185651238
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2021,3925.8
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2022,5092.5
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2023,4583
"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",Sơ bộ 2024,2928.4
"Dầu, mỡ, chất béo, sáp động, thực vật",1995,13.8
"Dầu, mỡ, chất béo, sáp động, thực vật",1996,34.9
"Dầu, mỡ, chất béo, sáp động, thực vật",1997,24.999
"Dầu, mỡ, chất béo, sáp động, thực vật",1998,16.747
"Dầu, mỡ, chất béo, sáp động, thực vật",1999,22.566
"Dầu, mỡ, chất béo, sáp động, thực vật",2000,71.8
"Dầu, mỡ, chất béo, sáp động, thực vật",2001,31.6
"Dầu, mỡ, chất béo, sáp động, thực vật",2002,12.5
"Dầu, mỡ, chất béo, sáp động, thực vật",2003,23
"Dầu, mỡ, chất béo, sáp động, thực vật",2004,38.4
"Dầu, mỡ, chất béo, sáp động, thực vật",2005,17.9
"Dầu, mỡ, chất béo, sáp động, thực vật",2006,19.4
