Trị giá và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2003,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2004,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2005,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2006,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2007,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2008,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2009,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2010,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2011,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2012,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2013,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2014,
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2015,5307.853854099997
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2016,3837.48053309
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2017,5167.395179399999
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2018,5239.159192400001
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2019,5054.355
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2020,3407.23
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2021,4209.063108609043
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2022,5313.3
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,2023,4854.5
Trị giá (Triệu đô la Mỹ),Nhiên liệu và khoáng sản,Sơ bộ 2024,3381.6
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1995,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1996,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1997,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1998,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,1999,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2000,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2001,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2002,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2003,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2004,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2005,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2006,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2007,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2008,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2009,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2010,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2011,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2012,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2013,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2014,
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2015,133028.2251459
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2016,148224.37290033
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2017,181991.6108206
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2018,209277.1333606101
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2019,230824.8011960455
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2020,251487.089
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2021,300460.6565117902
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2022,330925.4
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,2023,312568.2
Trị giá (Triệu đô la Mỹ),Công nghiệp chế biến,Sơ bộ 2024,357673.5
Trị giá (Triệu đô la Mỹ),Hàng nông sản,1995,1745.8
Trị giá (Triệu đô la Mỹ),Hàng nông sản,1996,2159.6
Trị giá (Triệu đô la Mỹ),Hàng nông sản,1997,2231.4
Trị giá (Triệu đô la Mỹ),Hàng nông sản,1998,2274.3
Trị giá (Triệu đô la Mỹ),Hàng nông sản,1999,2545.9
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2000,2563.3
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2001,2421.3
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2002,2396.6
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2003,2672
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2004,3383.6
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2005,4467.4
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2006,5352.4
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2007,7032.8
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2008,9239.6
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2009,8352.8
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2010,10639.5
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2011,14447.5
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2012,15463.4
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2013,14053.3
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2014,15213
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2015,14810.7
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2016,15432.1
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2017,17388.6
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2018,17484.6
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2019,16593.568506375
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2020,16027.67576821543
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2021,18310.95848469516
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2022,18995.8
Trị giá (Triệu đô la Mỹ),Hàng nông sản,2023,23430.9
Trị giá (Triệu đô la Mỹ),Hàng nông sản,Sơ bộ 2024,28812.3
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,1995,153.9
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,1996,212.2
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,1997,225.2
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,1998,191.4
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,1999,169.2
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2000,155.7
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2001,176
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2002,197.8
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2003,195.3
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2004,180.6
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2005,252.5
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2006,297.6
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2007,408.4
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2008,468.7
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2009,463.4
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2010,803.9
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2011,1220.7
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2012,1363.7
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2013,1906.2
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2014,1952.6
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2015,2296.6
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2016,2045.8
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2017,2215.5
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2018,2919.1
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2019,3273.6670084095
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2020,3311.5
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2021,4325.522881498282
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2022,5573.9
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,2023,4914
Trị giá (Triệu đô la Mỹ),Hàng lâm sản,Sơ bộ 2024,6005.7
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,1995,621.4
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,1996,696.5
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,1997,782
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,1998,858
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,1999,973.6
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2000,1478.5
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2001,1816.4
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2002,2021.7
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2003,2199.6
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2004,2408.1
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2005,2732.5
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2006,3358
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2007,3763.4
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2008,4510.1
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2009,4255.3
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2010,5016.9
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2011,6112.4
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2012,6088.5
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2013,6692.6
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2014,7825.3
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2015,6568.8
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2016,7036
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2017,8349.2
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2018,8771
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2019,8514.02088762
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2020,8388.953893029999
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2021,8853.337363030001
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2022,10895.4
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,2023,8934.5
Trị giá (Triệu đô la Mỹ),Hàng thủy sản,Sơ bộ 2024,10039.6
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),1995,
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),1996,
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),1997,
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),1998,
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),1999,
