"Khối nước, nước và vùng lãnh thổ chủ yếu",Năm,Giá trị
Phi-li-pin,1997,36.33
Phi-li-pin,1998,67.676
Phi-li-pin,1999,47.5
Phi-li-pin,2000,62.9
Phi-li-pin,2001,53.5
Phi-li-pin,2002,100.6
Phi-li-pin,2003,140.9
Phi-li-pin,2004,188.4
Phi-li-pin,2005,209.9
Phi-li-pin,2006,342.6
Phi-li-pin,2007,414.2
Phi-li-pin,2008,389.1
Phi-li-pin,2009,450.7
Phi-li-pin,2010,700.3
Phi-li-pin,2011,805.1
Phi-li-pin,2012,964.5
Phi-li-pin,2013,952.3
Phi-li-pin,2014,674.9
Phi-li-pin,2015,898.93597567
Phi-li-pin,2016,1060.16537298
Phi-li-pin,2017,1158.332
Phi-li-pin,2018,1256.7020272
Phi-li-pin,2019,1578.12190556
Phi-li-pin,2020,1754.47693763
Phi-li-pin,2021,2406.46818146
Phi-li-pin,2022,2713.07675279
Phi-li-pin,2023,2653.66228386
Phi-li-pin,Sơ bộ 2024,2476.643844
Xin-ga-po,1995,1425.2
Xin-ga-po,1996,2032.599
Xin-ga-po,1997,2127.957
Xin-ga-po,1998,1963.966
Xin-ga-po,1999,1878.5
Xin-ga-po,2000,2694.3
Xin-ga-po,2001,2478.3
Xin-ga-po,2002,2533.5
Xin-ga-po,2003,2875.8
Xin-ga-po,2004,3618.4
Xin-ga-po,2005,4482.3
Xin-ga-po,2006,6273.9
Xin-ga-po,2007,7613.7
Xin-ga-po,2008,9378
Xin-ga-po,2009,7015.2
Xin-ga-po,2010,4101.1
Xin-ga-po,2011,6390.6
Xin-ga-po,2012,6691
Xin-ga-po,2013,5685.2
Xin-ga-po,2014,6834.7
Xin-ga-po,2015,6038.25894563
Xin-ga-po,2016,4768.52924893
Xin-ga-po,2017,5318.587
Xin-ga-po,2018,4576.6608415
Xin-ga-po,2019,4166.97570385
Xin-ga-po,2020,3681.88339862
Xin-ga-po,2021,4289.18270262
Xin-ga-po,2022,4847.72497953
Xin-ga-po,2023,4722.28172385
Xin-ga-po,Sơ bộ 2024,5353.601364
Thái Lan,1995,439.8
Thái Lan,1996,494.539
Thái Lan,1997,575.166
Thái Lan,1998,673.507
Thái Lan,1999,561.8
Thái Lan,2000,810.9
Thái Lan,2001,792.3
Thái Lan,2002,955.2
Thái Lan,2003,1282.2
Thái Lan,2004,1858.6
Thái Lan,2005,2374.1
Thái Lan,2006,3034.4
Thái Lan,2007,3744.2
Thái Lan,2008,4905.6
Thái Lan,2009,4471.1
Thái Lan,2010,5602.3
Thái Lan,2011,6383.6
Thái Lan,2012,5791.9
Thái Lan,2013,6283.4
Thái Lan,2014,7053.3
Thái Lan,2015,8275.50044208
Thái Lan,2016,8855.14020301
Thái Lan,2017,10702.329
Thái Lan,2018,12046.0677676
Thái Lan,2019,11663.19205143
Thái Lan,2020,10967.05058525
Thái Lan,2021,12592.83542821
Thái Lan,2022,14121.86467873
Thái Lan,2023,11900.44657271
Thái Lan,Sơ bộ 2024,12452.442667
Đài Loan,1995,901.3
Đài Loan,1996,1263.222
Đài Loan,1997,1484.658
Đài Loan,1998,1377.608
Đài Loan,1999,1566.4
Đài Loan,2000,1879.9
Đài Loan,2001,2008.7
Đài Loan,2002,2525.3
Đài Loan,2003,2915.5
Đài Loan,2004,3698.3
Đài Loan,2005,4304.2
Đài Loan,2006,4824.9
Đài Loan,2007,6946.7
Đài Loan,2008,8362.6
Đài Loan,2009,6112.9
Đài Loan,2010,6976.9
Đài Loan,2011,8556.8
Đài Loan,2012,8534.2
Đài Loan,2013,9402
Đài Loan,2014,11063.6
Đài Loan,2015,10951.27
Đài Loan,2016,11241.77914797
Đài Loan,2017,12709.685
Đài Loan,2018,13243.2922767
Đài Loan,2019,15162.51469504
Đài Loan,2020,16702.77512815
Đài Loan,2021,20779.69652909
Đài Loan,2022,22632.9381773
Đài Loan,2023,18421.67618604
Đài Loan,Sơ bộ 2024,22746.097266
Hàn Quốc,1995,1253.6
Hàn Quốc,1996,1781.42
Hàn Quốc,1997,1564.486
Hàn Quốc,1998,1420.86
Hàn Quốc,1999,1485.8
Hàn Quốc,2000,1753.6
Hàn Quốc,2001,1886.8
Hàn Quốc,2002,2279.6
Hàn Quốc,2003,2625.4
Hàn Quốc,2004,3359.4
Hàn Quốc,2005,3594.1
Hàn Quốc,2006,3908.4
Hàn Quốc,2007,5340.4
Hàn Quốc,2008,7255.2
Hàn Quốc,2009,6707.6
Hàn Quốc,2010,9757.6
Hàn Quốc,2011,13175.9
Hàn Quốc,2012,15535.4
Hàn Quốc,2013,20677.9
Hàn Quốc,2014,21728.5
Hàn Quốc,2015,27578.526
Hàn Quốc,2016,32193.12147704
Hàn Quốc,2017,46943.334
Hàn Quốc,2018,47629.3043539
Hàn Quốc,2019,47058.02669749
Hàn Quốc,2020,46926.00799746
Hàn Quốc,2021,56213.30850388
Hàn Quốc,2022,62167.60037716
Hàn Quốc,2023,52463.86373712
Hàn Quốc,Sơ bộ 2024,55987.800082
ĐKHC Hồng Công (TQ),1995,419
ĐKHC Hồng Công (TQ),1996,795.391
ĐKHC Hồng Công (TQ),1997,598.88
ĐKHC Hồng Công (TQ),1998,557.344
ĐKHC Hồng Công (TQ),1999,504.7
ĐKHC Hồng Công (TQ),2000,598.1
ĐKHC Hồng Công (TQ),2001,537.6
ĐKHC Hồng Công (TQ),2002,804.8
ĐKHC Hồng Công (TQ),2003,990.9
ĐKHC Hồng Công (TQ),2004,1074.3
ĐKHC Hồng Công (TQ),2005,1235
ĐKHC Hồng Công (TQ),2006,1440.8
ĐKHC Hồng Công (TQ),2007,1950.7
ĐKHC Hồng Công (TQ),2008,2633.3
ĐKHC Hồng Công (TQ),2009,2120.9
ĐKHC Hồng Công (TQ),2010,860.4
ĐKHC Hồng Công (TQ),2011,969.7
ĐKHC Hồng Công (TQ),2012,969.5
ĐKHC Hồng Công (TQ),2013,1049
ĐKHC Hồng Công (TQ),2014,1036.9
ĐKHC Hồng Công (TQ),2015,1320.362
ĐKHC Hồng Công (TQ),2016,1500.2839052
ĐKHC Hồng Công (TQ),2017,1664.884
ĐKHC Hồng Công (TQ),2018,1551.9550481
ĐKHC Hồng Công (TQ),2019,1317.96035902
ĐKHC Hồng Công (TQ),2020,1113.51237585
ĐKHC Hồng Công (TQ),2021,1633.38311068
ĐKHC Hồng Công (TQ),2022,1910.56788295
ĐKHC Hồng Công (TQ),2023,1625.8157987
ĐKHC Hồng Công (TQ),Sơ bộ 2024,1104.516068
Nhật Bản,1995,915.7
Nhật Bản,1996,1260.342
Nhật Bản,1997,1509.284
Nhật Bản,1998,1481.663
Nhật Bản,1999,1618.3
Nhật Bản,2000,2300.9
Nhật Bản,2001,2183.1
Nhật Bản,2002,2504.7
Nhật Bản,2003,2982.1
Nhật Bản,2004,3552.6
Nhật Bản,2005,4074.1
Nhật Bản,2006,4702.1
Nhật Bản,2007,6188.9
Nhật Bản,2008,8240.3
Nhật Bản,2009,6836.4
Nhật Bản,2010,9016.1
Nhật Bản,2011,10400.7
Nhật Bản,2012,11602.1
Nhật Bản,2013,11558.3
Nhật Bản,2014,12857
Nhật Bản,2015,14225.051
Nhật Bản,2016,15098.32264727
Nhật Bản,2017,16916.806
Nhật Bản,2018,19108.1483879
Nhật Bản,2019,19621.14482014
