Kết quả kinh doanh,Năm,Giá trị
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2003,3976.2
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2004,5155.2
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2005,5433.9
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2006,4897
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2007,4804.3
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2008,4997.3
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2009,8074.2
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2010,8234.2
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2011,8967.2
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2012,8998.3
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2013,9645.9
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2014,11305.9
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2015,12601.7
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2016,13651
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2017,15173
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2018,16966
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2019,18366.285815
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2020,8397.835000000001
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2021,3565.27962132629
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2022,15147.07764849368
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2023,28401.82080312366
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),Sơ bộ 2024,34371.21782681172
     Khách trong nước  (Nghìn lượt khách),2000,939.5
     Khách trong nước  (Nghìn lượt khách),2001,1577.3
     Khách trong nước  (Nghìn lượt khách),2002,2624.5
     Khách trong nước  (Nghìn lượt khách),2003,2400.5
     Khách trong nước  (Nghìn lượt khách),2004,2914.7
     Khách trong nước  (Nghìn lượt khách),2005,3287
     Khách trong nước  (Nghìn lượt khách),2006,2591.7
     Khách trong nước  (Nghìn lượt khách),2007,2559.8
     Khách trong nước  (Nghìn lượt khách),2008,2589
     Khách trong nước  (Nghìn lượt khách),2009,5274.2
     Khách trong nước  (Nghìn lượt khách),2010,5415
     Khách trong nước  (Nghìn lượt khách),2011,5986.2
     Khách trong nước  (Nghìn lượt khách),2012,6608.4
     Khách trong nước  (Nghìn lượt khách),2013,7218.2
     Khách trong nước  (Nghìn lượt khách),2014,8552.8
     Khách trong nước  (Nghìn lượt khách),2015,9288.7
     Khách trong nước  (Nghìn lượt khách),2016,9477.6
     Khách trong nước  (Nghìn lượt khách),2017,9918.4
     Khách trong nước  (Nghìn lượt khách),2018,11062.2
     Khách trong nước  (Nghìn lượt khách),2019,11791.155494
     Khách trong nước  (Nghìn lượt khách),2020,5789.424
     Khách trong nước  (Nghìn lượt khách),2021,3316.95
     Khách trong nước  (Nghìn lượt khách),2022,13197.44519686016
     Khách trong nước  (Nghìn lượt khách),2023,19976.81345790573
     Khách trong nước  (Nghìn lượt khách),Sơ bộ 2024,22968.48099490158
     Khách quốc tế  (Nghìn lượt khách),2000,1359.3
     Khách quốc tế  (Nghìn lượt khách),2001,1439.1
     Khách quốc tế  (Nghìn lượt khách),2002,1947.6
     Khách quốc tế  (Nghìn lượt khách),2003,1425
     Khách quốc tế  (Nghìn lượt khách),2004,1644.5
     Khách quốc tế  (Nghìn lượt khách),2005,1776.3
     Khách quốc tế  (Nghìn lượt khách),2006,1902.3
     Khách quốc tế  (Nghìn lượt khách),2007,1883.7
     Khách quốc tế  (Nghìn lượt khách),2008,2032.2
     Khách quốc tế  (Nghìn lượt khách),2009,2344.3
     Khách quốc tế  (Nghìn lượt khách),2010,2385.8
     Khách quốc tế  (Nghìn lượt khách),2011,2520
     Khách quốc tế  (Nghìn lượt khách),2012,1985.4
     Khách quốc tế  (Nghìn lượt khách),2013,2037
     Khách quốc tế  (Nghìn lượt khách),2014,2323.5
     Khách quốc tế  (Nghìn lượt khách),2015,2820
     Khách quốc tế  (Nghìn lượt khách),2016,3584.5
     Khách quốc tế  (Nghìn lượt khách),2017,4556.4
     Khách quốc tế  (Nghìn lượt khách),2018,5125.9
     Khách quốc tế  (Nghìn lượt khách),2019,5730.281174
     Khách quốc tế  (Nghìn lượt khách),2020,2520.426
     Khách quốc tế  (Nghìn lượt khách),2021,246.0109539414607
     Khách quốc tế  (Nghìn lượt khách),2022,1750.456286938568
     Khách quốc tế  (Nghìn lượt khách),2023,7935.644291157049
     Khách quốc tế  (Nghìn lượt khách),Sơ bộ 2024,10656.5300796376
